name,county,party,gender,image_url,start_date,end_date
"Hassan Ali Joho, EGH",Mombasa,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Mombasa_H.E_Hon._Hassan_Ali_Joho_EGH.webp,2017,2022
Salim Mvurya Mgala,Kwale,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kwale_H.E_Salim_Mvurya_Mgala.webp,2017,2022
"Amason Jeffah Kingi, EGH",Kilifi,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kilifi_H.E_Hon._Amason_Jeffah_Kingi_EGH.webp,2017,2022
Maj.(Rtd) Dr. Dhadho Gaddae Godhana,Tana River,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Tana_River_H.E_Maj.Rtd_Dr._Dhadho_Gaddae_Godhana.webp,2017,2022
Fahim Yassin Twaha,Lamu,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Lamu_H.E_Fahim_Yassin_Twaha.webp,2017,2022
Granton Graham Samboja,Taita Taveta,WDM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/TaitaTaveta_H.E_Granton_Graham_Samboja.webp,2017,2022
"Ali Bunow Korane, CBS",Garissa,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Garissa_H.E_Ali_Bunow_Korane_CBS.webp,2017,2022
Mohamed Abdi Mohamud,Wajir,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Wajir_H.E_Mohamed_Abdi_Mohamud.webp,2017,2022
CPT. Ali Ibrahim Roba,Mandera,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Mandera_H.E_CPT._Ali_Ibrahim_Roba.webp,2017,2022
Mohamud M. Ali,Marsabit,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Marsabit_H.E_Mohamud_M._Ali.webp,2017,2022
Mohamed Abdi Kuti,Isiolo,Independent,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Isiolo_H.E_CPT._Ali_Ibrahim_Roba.webp,2017,2022
"Kiraitu Murungi, EGH",Meru,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Meru_H.E_Hon._Kiraitu_Murungi_EGH.webp,2017,2022
Muthomi Njuki,Tharaka-Nithi,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/TharakaNithi_H.E_Muthomi_Njuki.webp,2017,2022
"Martin Nyaga Wambora, EGH",Embu,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Embu_H.E_Martin_Nyaga_Wambora_EGH.webp,2017,2022
"Charity Kaluki Ngilu,EGH",Kitui,NARC-K,female,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kitui_H.E_Charity_Kaluki_NgiluEGH.webp,2017,2022
"Dr.Alfred Mutua Nganga, EGH CBS",Machakos,MCCP,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Machakos_H.E_Dr.Alfred_Mutua_Nganga_EGH_CBS.webp,2017,2022
"Prof. Kivutha Kibwana, EGH",Makueni,WDM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Makueni_H.E_Prof._Kivutha_Kibwana_EGH.webp,2017,2022
"Francis Thuita Kimemia,EGH, CBS, HSC",Nyandarua,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Nyandarua_H.E_Francis_Thuita_KimemiaEGH_CBS_HSC.webp,2017,2022
Edward Mutahi Kahiga,Nyeri,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Nyeri_H.E_Edward_Mutahi_Kahiga.webp,2018,2022
"Anne Mumbi Waiguru, EGH, OGW",Kirinyaga,Jubilee,female,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kirinyaga_H.E_Anne_Mumbi_Waiguru_EGH_OGW.webp,2017,2022
Mwangi Wa Iria,Murang'a,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Muranga_H.E_Mwangi_Wa_Iria.webp,2017,2022
James Nyoro Karanja,Kiambu,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kiambu_H.E_James_Nyoro_Karanja.webp,2020,2022
"Josphat Koli Nanok, EGH",Turkana,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Turkana_H.E_Hon_Josphat_Koli_Nanok_EGH.webp,2017,2022
Prof. John Krop Lonyangapuo CBS,West Pokot,KANU,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/West_Pokot_H.E_Hon._Prof.John_Krop_Lonyangapuo_CBS.webp,2017,2022
Moses Kasainie Lenolkulal,Samburu,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Samburu_H.E_Moses_Kasainie_Lenolkulal.webp,2017,2022
"Patrick Simiyu Khaemba, CBS",Trans-Nzoia,FORD-K,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Trans_Nzoia_H.E_Patrick_Simiyu_Khaemba_CBS.webp,2017,2022
Jackson Kiplagat Mandago,Uasin Gishu,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Uasin_Gishu_H.E_Jackson_Kiplagat_Mandago.webp,2017,2022
"ENG. Alex Tanui Tolgos, EGH",Elgeyo-Marakwet,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/ElgeyoMarakwet_H.E_ENG._Alex_Tanui_Tolgos_EGH.webp,2017,2022
Stephen Kipyego Sang,Nandi,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Nandi_H.E_Stephen_Kipyego_Sang.webp,2017,2022
Stanely K Kiptis,Baringo,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Baringo_H.E_Stanely_K_Kiptis.webp,2017,2022
Ndiritu Muriithi,Laikipia,Independent,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Laikipia_H.E_Hon._Ndiritu_Muriithi.webp,2017,2022
Lee Maiyani Kinyanjui,Nakuru,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Nakuru_H.E_Hon._Lee_Maiyani_Kinyanjui.webp,2017,2022
"Samuel Kuntai Ole Tunai, EGH",Narok,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Narok_H.E_Samuel_Kuntai_Ole_Tunai_EGH.webp,2017,2022
"Joseph Jama Ole Lenku,EGH",Kajiado,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kajiado_H.E_Joseph_Jama_Ole_LenkuEGH.webp,2017,2022
Prof. Paul Chepkwony Kiprono,Kericho,Jubilee,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kericho_H.E_Prof._Paul_Chepkwony_Kiprono.webp,2017,2022
Prof. Hillary K Barchok,Bomet,JP,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Bomet_H.E_Hon._Prof._Hillary_K_Barchok.webp,2019,2022
Joyce Cherono Laboso,Bomet,JP,female,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Joyce_Cherono_Laboso.webp,2017,2019
"Dr. FCPA, Wycliffe Ambetsa Oparanya, EGH, CGJ",Kakamega,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kakamega_H.E_Dr._FCPA_Wycliffe_Ambetsa_Oparanya_EGH_CGJ.webp,2017,2022
Dr. Wilber Khasilwa Ottichilo,Vihiga,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Vihiga_H.E_Hon._Dr._Wilber_Khasilwa_Ottichilo.webp,2017,2022
Wycliffe Wafula Wangamati,Bungoma,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Bungoma_H.E_Hon._Wycliffe_Wafula_Wangamati.webp,2017,2022
Sospeter Odeke Ojaamong,Busia,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Busia_H.E_Sospeter_Odeke_Ojaamong.webp,2017,2022
"Cornel Amoth Rasanga, EGH",Siaya,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Siaya_H.E_Cornel_Amoth_Rasanga_EGH.webp,2017,2022
"Prof. Peter Anyang’ Nyong’o, EGH",Kisumu,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kisumu_H.E_Hon._Prof._Peter_Anyang_Nyongo_EGH.webp,2017,2022
Cyprian Archelius Awiti,Homa Bay,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Homa_Bay_H.E_Cyprian_Archelius_Awiti.webp,2017,2022
Zachary Okoth Obado,Migori,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Migori_H.E_Zachary_Okoth_Obado.webp,2017,2022
"James Omariba Ongwae,EGH,CBS ,EBS",Kisii,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Kisii_H.E_James_Omariba_OngwaeEGHCBS_EBS.webp,2017,2022
Amos Nyaribo,Nyamira,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Nyamira_H.E_Hon._Amos_Nyaribo.webp,2017,2022
Anne Kananu Mwenda,Nairobi,JP,female,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Nairobi_H.E_Anne_Kananu_Mwenda.webp,2021,2022
Mike Mbuvi Sonko,Nairobi,JP,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Mike_Mbuvi_Sonko.webp,2017,2020
Patrick Wahome Gakuru,Nyeri,JP,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Patrick_Wahome_Gakuru.webp,2017,2017
Ferdinand Waititu Babayao,Kiambu,JP,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/Ferdinand_Waititu_Babayao.webp,2017,2020
John Nyangarama Obiena,Nyamira,ODM,male,https://f003.backblazeb2.com/file/serikali-images/governors/2017/John_Nyangarama_Obiena.webp,2017,2022
