County Code,County Name,Const. Code,Const. Name,CAW Code,CAW Name,Name,Political Party Name,Party Abbrev,image_url
1,Mombasa,1,Changamwe,1,Port Reitz,Fadhili Mwalimu Makarani,Orange Democratic Movement,ODM,3418
1,Mombasa,1,Changamwe,2,Kipevu,Leila Mughazo Nyache,Orange Democratic Movement,ODM,2258
1,Mombasa,1,Changamwe,3,Airport,Ibrahim Oyugi Omondi,Independent,IND,3181
1,Mombasa,1,Changamwe,4,Changamwe,Benard Ochieng Ogutu,Orange Democratic Movement,ODM,3099
1,Mombasa,1,Changamwe,5,Chaani,Frankline Mbega Makanga,Independent,IND,3363
1,Mombasa,2,Jomvu,6,Jomvu Kuu,Joshua Ong’au Mose,Orange Democratic Movement,ODM,2914
1,Mombasa,2,Jomvu,7,Miritini,Kibwana Swaleh Baya,Orange Democratic Movement,ODM,2992
1,Mombasa,2,Jomvu,8,Mikindani,Jacktone Oluoch Madialo,Orange Democratic Movement,ODM,6988
1,Mombasa,3,Kisauni,9,Mjambere,Amriya Boy Juma,Orange Democratic Movement,ODM,2736
1,Mombasa,3,Kisauni,10,Junda,Silvester Tsuma Kai,United Democratic Alliance,UDA,2743
1,Mombasa,3,Kisauni,11,Bamburi,Patrick Mwavula Mbelle,Orange Democratic Movement,ODM,2795
1,Mombasa,3,Kisauni,12,Mwakirunge,Mwinyi Mtoto Khamis,Wiper Democratic Movement,WDM,1374
1,Mombasa,3,Kisauni,13,Mtopanga,Morgan Ndapatani Matsaki,United Democratic Alliance,UDA,2478
1,Mombasa,3,Kisauni,14,Magogoni,Hassan Ulher Mohamed,Orange Democratic Movement,ODM,2331
1,Mombasa,3,Kisauni,15,Shanzu,Allen Rodgers Katana,Orange Democratic Movement,ODM,4140
1,Mombasa,4,Nyali,16,Freretown,Maryam Sharif Salim,Orange Democratic Movement,ODM,4534
1,Mombasa,4,Nyali,17,Ziwa La Ng’ombe,Hamisi Nyota Athuman,Orange Democratic Movement,ODM,3497
1,Mombasa,4,Nyali,18,Mkomani,Eliud Kimari Murimi,Orange Democratic Movement,ODM,3846
1,Mombasa,4,Nyali,19,Kongowea,Samwel Mwaura Muigai,United Democratic Allance,UDA,5064
1,Mombasa,4,Nyali,20,Kadzandani,Fatuma Swaleh Mote,Orange Democratic Movement,ODM,2957
1,Mombasa,5,Likoni,21,Mtongwe,Nusura Mwinyi Kimuswa,Orange Democratic Movement,ODM,2142
1,Mombasa,5,Likoni,22,Shika Adabu,Mwalimu Juma Kambi,Orange Democratic Movement,ODM,2682
1,Mombasa,5,Likoni,23,Bofu,Juma Seif Manuari,Orange Democratic Movement,ODM,2726
1,Mombasa,5,Likoni,24,Likoni,Athman Rama Mwamwiri,Orange Democratic Movement,ODM,1653
1,Mombasa,5,Likoni,25,Timbwani,Hamisi Salim Mbaya,Orange Democratic Movement,ODM,4954
1,Mombasa,6,Mvita,26,Mji Wa Kale,Abdirahman Abdikadir Hussein,Orange Democratic Movement,ODM,3952
1,Mombasa,6,Mvita,27,Tudor,Samir Gulamabbass Baloo,United Democratic Alliance,UDA,4587
1,Mombasa,6,Mvita,28,Tononoka,Ali Omar Sharif,Orange Democratic Movement,ODM,2963
1,Mombasa,6,Mvita,29,Shimanzi/Ganjoni,Prischilla Mema Mumba,Orange Democratic Movement,ODM,3644
1,Mombasa,6,Mvita,30,Majengo,Ahmed Khamis Salim Khamis,Orange Democratic Movement,ODM,5070
2,Kwale,7,Msambweni,31,Gombato Bongwe,Tumaini Kassim Mwachaunga,United Democratic Alliance,UDA,3709
2,Kwale,7,Msambweni,32,Ukunda,Omari Hamisi Kitengele,Orange Democratic Movement,ODM,4060
2,Kwale,7,Msambweni,33,Kinondo,Juma Athumani Maone,Jubilee Party,JP,2805
2,Kwale,7,Msambweni,34,Ramisi,Hanifa Badi Mwajirani,Orange Democratic Movement,ODM,3800
2,Kwale,8,Lunga lunga,35,Pongwe Kikoneni,Omar Bakari Mwaduga,United Democratic Alliance,UDA,2982
2,Kwale,8,Lunga lunga,36,Dzombo,Douglas Chimakotsuma,United Democratic Alliance,UDA,3242
2,Kwale,8,Lunga lunga,37,Mwereni,Manza Beja Beny,Pamoja African Alliance,PAA,2464
2,Kwale,8,Lunga lunga,38,Vanga,Yusufu Hassan Mubwana,United Party of Independent Alliance,UPIA,1886
2,Kwale,9,Matuga,39,Tsimba Golini,Mwaboza Omar Mwachuo,Independent,IND,2996
2,Kwale,9,Matuga,40,Waa,Said Hamisi Mawafujo,Shirikisho Party of Kenya,SPK,2162
2,Kwale,9,Matuga,41,Tiwi,Juma Ali Mwachimvyomo,Kenya African Democratic Union-Asili,KADU-ASILI,1699
2,Kwale,9,Matuga,42,Kubo South,Andrew Mulei Mwolovu,Pamoja African Alliance,PAA,1977
2,Kwale,9,Matuga,43,Mkongani,Yusuf Sengaza,United Democratic Movement,UDM,4192
2,Kwale,10,Kinango,44,Ndavaya,Ali Bedzame Mwauchi,Orange Democratic Movement,ODM,2578
2,Kwale,10,Kinango,45,Puma,James Dawah Ngome,Pamoja African Alliance,PAA,2247
2,Kwale,10,Kinango,46,Kinango,Richard Itambo Masyuki,United Democratic Alliance,UDA,1547
2,Kwale,10,Kinango,47,Mackinnon Road,Mwagawary Mwasoko Mwanyae,Orange Democratic Movement,ODM,2300
2,Kwale,10,Kinango,48,Chengoni Samburu,John Mwatela Shede,Pamoja African Alliance,PAA,2687
2,Kwale,10,Kinango,49,Mwavumbo,Hamisi Mkaha Kombo,United Democratic Alliance,UDA,2000
2,Kwale,10,Kinango,50,Kasemeni,Victor Nyanje Safari,Orange Democratic Movement,ODM,2883
3,Kilifi,11,Kilifi North,51,Tezo,Thomas Mumba Chengo,Pamoja African Aliance,PAA,1887
3,Kilifi,11,Kilifi North,52,Sokoni,Ray Maro Katana,Orange Democratic Movement,ODM,3099
3,Kilifi,11,Kilifi North,53,Kibarani,Moses Furaha Kea,Orange Democratic Movement,ODM,2010
3,Kilifi,11,Kilifi North,54,Dabaso,Emmanuel Changawa Kombe,United Democratic Alliance,UDA,2031
3,Kilifi,11,Kilifi North,55,Matsangoni,Hassan Mohamed Said,Pamoja African Alliance,PAA,2059
3,Kilifi,11,Kilifi North,56,Watamu,Ibrahim Abdi Athman,Orange Democratic Movement,ODM,2155
3,Kilifi,11,Kilifi North,57,Mnarani,Juma Chengo Thoya,Independent,IND,2427
3,Kilifi,12,Kilifi South,58,Junju,Said Juma Iddi,Orange Democratic Movement,ODM,2507
3,Kilifi,12,Kilifi South,59,Mwarakaya,Stallone Humphrey Mkadi,Orange Democratic Movement,ODM,3304
3,Kilifi,12,Kilifi South,60,Shimo La Tewa,Haron Tete Ndundi,Orange Democratic Movement,ODM,5789
3,Kilifi,12,Kilifi South,61,Chasimba,Ronald Kazungu Mbura,Orange Democratic Movement,ODM,3287
3,Kilifi,12,Kilifi South,62,Mtepeni,Brown Safari Kahindi,Orange Democratic Movement,ODM,2257
3,Kilifi,13,Kaloleni,63,Mariakani,Martha Koki Musyoki,Orange Democratic Movement,ODM,3176
3,Kilifi,13,Kaloleni,64,Kayafungo,Agnes Sidi,Amani National Congress,ANC,2049
3,Kilifi,13,Kaloleni,65,Kaloleni,Jonathan Birya Fondo,Orange Democratic Movement,ODM,4148
3,Kilifi,13,Kaloleni,66,Mwanamwinga,Edward Kazungu Ziro,Independent,IND,1704
3,Kilifi,14,Rabai,67,Mwawesa,Kalama Mumba Ngome,Shirikisho Party,SPK,738
3,Kilifi,14,Rabai,68,Ruruma,Naphtali Nyae Kombo,Jubilee Party,JP,2487
3,Kilifi,14,Rabai,69,Kambe/Ribe,Morgan Mwagawe Kubo,United Democratic Alliance,UDA,2924
3,Kilifi,14,Rabai,70,Rabai/ Kisurutini,Cantona Mae Mwadena,Orange Democratic Movement,ODM,2738
3,Kilifi,15,Ganze,71,Ganze,Benson Karisa Ngirani Maneno,Orange Democratic Movement,ODM,3380
3,Kilifi,15,Ganze,72,Bamba,Mwambire Mohamed Kadhengi,Pamoja African Alliance,PAA,4971
3,Kilifi,15,Ganze,73,Jaribuni,Peter Safari Shehe,United Democratic Alliance,UDA,3121
3,Kilifi,15,Ganze,74,Sokoke,Harrison Taura Mweni,Pamoja African Alliance,PAA,3837
3,Kilifi,16,Malindi,75,Jilore,Hamisi Mumbo Jambo,Orange Democratic Movement,ODM,1945
3,Kilifi,16,Malindi,76,Kakuyuni,Morris Kitsao Hinzano,United Democratic Alliance,UDA,1568
3,Kilifi,16,Malindi,77,Ganda,Oscar Iha Wanje,Orange Democratic Movement,ODM,2999
3,Kilifi,16,Malindi,78,Malindi Town,Rashid Odhiambo Ogelo,Orange Democratic Movement,ODM,5029
3,Kilifi,16,Malindi,79,Shella,Twaher Abdulkarim Mohamed,Orange Democratic Movement,ODM,3224
3,Kilifi,17,Magarini,80,Marafa,Emmanuel Karisa Baya,Orange Democratic Movement,ODM,2851
3,Kilifi,17,Magarini,81,Magarini,Paul Charo Kitsao,Independent,IND,2432
3,Kilifi,17,Magarini,82,Gongoni,Baya Stephen Mwaro,Independent,IND,3040
3,Kilifi,17,Magarini,83,Adu,Samson Zia Kahindi,Pamoja African Alliance,PAA,1826
3,Kilifi,17,Magarini,84,Garashi,Theophilus Kalama Fondo,United Democratic Alliance,UDA,2080
3,Kilifi,17,Magarini,85,Sabaki,Rose Benson Baraka,Pamoja African Alliance,PAA,2034
4,Tana River,18,Garsen,86,Kipini East,Athman Abubakar Mohamed,Orange ic Alliance,UDA,1602
4,Tana River,18,Garsen,87,Garsen South,Roda Katisha Raha,Orange Democratic Movement,ODM,2025
4,Tana River,18,Garsen,88,Kipini West,Musa Shora Wario,United Democratic Alliance,UDA,1633
4,Tana River,18,Garsen,89,Garsen Central,Masha Boru Dela,United Democratic Alliance,UDA,2123
4,Tana River,18,Garsen,90,Garsen West,Gabo Mahmud Ahmed,United Party of Independent Alliance,UPIA,2474
4,Tana River,18,Garsen,91,Garsen North,Dumba Eliza Semi,Forum for Restoration of Democracy -Kenya,FORD-KENYA,2224
4,Tana River,19,Galole,92,Kinakomba,Salim Babusa Hamid,Orange Democratic Movement,ODM,1558
4,Tana River,19,Galole,93,Mikinduni,Paul Maro Samwel,Orange Democratic Movement,ODM,1146
4,Tana River,19,Galole,94,Chewani,Hamisi Deye Iddi,United Democratic Alliance,UDA,2732
4,Tana River,19,Galole,95,Wayu,Maka Baru Jarso,Kenya African National Union,KANU,1684
4,Tana River,20,Bura,96,Chewele,Yusuf Abdi Bile,Democratic Party of Kenya,DP,2158
4,Tana River,20,Bura,97,Hirimani,Ismael Bodha Kodobo,Kenya Africa National Union,KANU,2769
4,Tana River,20,Bura,98,Bangale,Jidril Mahamud Farah,United Party  of Independent Alliance,UPIA,2142
4,Tana River,20,Bura,99,Sala,Mohamud Ali Barrow,Wiper Democratic Movement,WDM,144
4,Tana River,20,Bura,100,Madogo,Ali Juma Dido,Wiper Democratic Movement,WDM,2230
5,Lamu,21,Lamu East,101,Faza,Mohamed Aboud Abubakar,Forum for Restoration of Democracy -Kenya,FORD-K,4006
5,Lamu,21,Lamu East,102,Kiunga,Bwana Mohamed Bwana,United Party of Independent Alliance,UPIA,1843
5,Lamu,21,Lamu East,103,Basuba,Deko Bana Barisa,Orange Democratic Movement,ODM,363
5,Lamu,22,Lamu West,104,Shella,Azhar Ali Mbarak,Orange Democratic Movement,ODM,1134
5,Lamu,22,Lamu West,105,Mkomani,Shekhuna Abbas Shekhuna,Amani National Congress,ANC,2347
5,Lamu,22,Lamu West,106,Hindi,James Njaaga Kariuki,Safina,SAFINA,1270
5,Lamu,22,Lamu West,107,Mkunumbi,Paul Kimani Njuguna,Safina,SAFINA,995
5,Lamu,22,Lamu West,108,Hongwe,John Mburu Gitonga,Amani National Congress,ANC,1039
5,Lamu,22,Lamu West,109,Witu,Suleiman Mohamed Farah,Party of National Unity,PNU,1633
5,Lamu,22,Lamu West,110,Bahari,Francis Ngure Gakonga,National Rainbow Coalition-Kenya,NARC-KENYA,3295
6,Taita Taveta,23,Taveta,111,Chala,Anthony Mutuku Kinyili,Orange Democratic Movement,ODM,2283
6,Taita Taveta,23,Taveta,112,Mahoo,Daniel Mutuku Kimuyu,Tujibebe Wakenya Party,JIBEBE,1739
6,Taita Taveta,23,Taveta,113,Bomani,Crispus Metinyoki Masaga Tondoo,Pamoja African Alliance,PAA,2673
6,Taita Taveta,23,Taveta,114,Mboghoni,Halifa Taraya Salim,Orange Democratic Movement,ODM,2588
6,Taita Taveta,23,Taveta,115,Mata,Isaac Matolo Wayua,Peoples Empowerment Party,PEP,1391
6,Taita Taveta,24,Wundanyi,116,Wundanyi /Mbale,Jimmy Mwandembe Mwamidi,Orange Democratic Movement,ODM,2147
6,Taita Taveta,24,Wundanyi,117,Werugha,Genard Mwandau Maghanga,Pamoja African Alliance,PAA,920
6,Taita Taveta,24,Wundanyi,118,Wumingu/ Kishushe,Newton Kifuso Salim,Pamoja African Alliance,PAA,1509
6,Taita Taveta,24,Wundanyi,119,Mwanda/ Mgange,Anselm Mwadime Chao,Pamoja African Alliance,PAA,1335
6,Taita Taveta,25,Mwatate,120,Rong’e,Dorcas Mghoi Mlughu,United Democratic Alliance,UDA,1822
6,Taita Taveta,25,Mwatate,121,Mwatate,Joseph Kennedy Mwalegha,Wiper Democratic Movement,WDM,1898
6,Taita Taveta,25,Mwatate,122,Bura,Anthony Warighe Mng’ambwa,Wiper Democratic Movement,WDM,1724
6,Taita Taveta,25,Mwatate,123,Chawia,Joseph Kirubai Mabishi,Jubilee Party,JP,1638
6,Taita Taveta,25,Mwatate,124,Wusi-Kishamba,Duncan Wangama Mwakufu,Communist Party of Kenya,CPK,1280
6,Taita Taveta,26,Voi,125,Mbololo,Lawrence Mwanjala Mzugha,Orange Democratic Movement,ODM,3039
6,Taita Taveta,26,Voi,126,Sagalla,Brayson Masha Mwambi,Wiper Democratic Movement,WDM,1169
6,Taita Taveta,26,Voi,127,Kaloleni,Azhar Zahid Din,Jubilee Party,JP,3007
6,Taita Taveta,26,Voi,128,Marungu,Stephen Nzai Mkala,Orange Democratic Movement,ODM,1517
6,Taita Taveta,26,Voi,129,Kasigau,Amos Mjomba Makalo,Pamoja African Alliance,PAA,1497
6,Taita Taveta,26,Voi,130,Ngolia,Jones Muganga Solomon,Wiper Democratic Movement,WDM,848
7,Garissa,27,Garissa Township,131,Waberi,Abubakar Haji Sugow,Kenya African National Union,KANU,1661
7,Garissa,27,Garissa Township,132,Galbet,Abubakar Mohamed Khalif,Orange Democratic Movement,ODM,3012
7,Garissa,27,Garissa Township,133,Township,Hussein Mohamed Dagane,United Democratic Alliance,UDA,1178
7,Garissa,27,Garissa Township,134,Iftin,Musdaf Abdirashid Ahmed,Amani National Congress,ANC,1360
7,Garissa,28,Balambala,135,Balambala,Abdi Ibrahim Daar,Jubilee Party,JP,1318
7,Garissa,28,Balambala,136,Danyere,Idris Ismail Aden,United Democratic Movement,UDM,1694
7,Garissa,28,Balambala,137,Jarajara,Adan Hussein Durow,United Democratic Movement,UDM,765
7,Garissa,28,Balambala,138,Saka,Abdiweli Aden Abdullahi,Jubilee Party,JP,832
7,Garissa,28,Balambala,139,Sankuri,Abdirahman Mohamed Ali,United Democratic Movement,UDM,1304
7,Garissa,29,Lagdera,140,Modogashe,Mahat Abdikadir Ibrahim,Orange Democratic Movement,ODM,1732
7,Garissa,29,Lagdera,141,Benane,Abdiqayum Sugow Nurow,Orange Democratic Movement,ODM,720
7,Garissa,29,Lagdera,142,Goreale,Fakrudin Haji Sadik,United Democratic Alliance,UDA,722
7,Garissa,29,Lagdera,143,Maalimin,Hajir Mahat Farah,National Agenda Party,NAP-K,1002
7,Garissa,29,Lagdera,144,Sabena,Issa Aden Abdi,National Agenda Party,NAP-K,No Contest
7,Garissa,29,Lagdera,145,Baraki,Hassan Dahir Noor,United Democratic Alliance,UDA,1779
7,Garissa,30,Dadaab,146,Dertu,Aden Hassan Odowa,United Party of Independent Alliance,UPIA,1343
7,Garissa,30,Dadaab,147,Dadaab,Mohamed Abdi Farah,Wiper Democratic Movement,WDM,1267
7,Garissa,30,Dadaab,148,Labasigale,Mohamed Sheikh Abdisalat,Wiper Democratic Movement,WDM,1215
7,Garissa,30,Dadaab,149,Damajale,Omar Abdi Hassan,Wiper Democratic Movement,WDM,3191
7,Garissa,30,Dadaab,150,Liboi,Ahmed Abdirahman Sheikh,Kenya African National Union,KANU,1406
7,Garissa,30,Dadaab,151,Abakaile,Hajir Mohamed Dahiye,United Party of Independent Alliance,UPIA,3148
7,Garissa,31,Fafi,152,Bura,Ali Abdihakim Haret,Jubilee Party,JP,861
7,Garissa,31,Fafi,153,Dekaharia,Ahmed Noor Aden,African National Congress,ANC,996
7,Garissa,31,Fafi,154,Jarajila,Noor Sheikh Farah,Kenya African National Union,KANU,1147
7,Garissa,31,Fafi,155,Fafi,Hassan Aden Kolosho,United Party of Independent Alliance,UPIA,802
7,Garissa,31,Fafi,156,Nanighi,Abdullahi Ibrahim Sigat,United Democratic Alliance,UDA,1062
7,Garissa,32,Ijara,157,Hulugho,Adow Omar Said,National Agenda Party of Kenya,NAP-K,1922
7,Garissa,32,Ijara,158,Sangailu,Abdi Muhyadin Abdi,National Agenda Party of Kenya,NAP-K,1956
7,Garissa,32,Ijara,159,Ijara,Abdirahman Muktar Muhumed,Jubilee Party,JP,1978
7,Garissa,32,Ijara,160,Masalani,Yunis Abdi Ibrahim,National Agenda Party of Kenya,NAP-K,3251
8,Wajir,33,Wajir North,161,Gurar,Abdisalan Mohamed Muhamud,United Party of Independent Alliance,UPIA,1087
8,Wajir,33,Wajir North,162,Bute,Omar Mohamed Ali,United Party of Independent Alliance,UPIA,761
8,Wajir,33,Wajir North,163,Korondile,Abdirizak Ibrahim Dakat,United Democratic Alliance,UDA,1918
8,Wajir,33,Wajir North,164,Malkagufu,Osman Ayub Abdi,Orange Democratic Movement,ODM,926
8,Wajir,33,Wajir North,165,Batalu,Adannur Abdi Ibrahim,Kenya African National Union,KANU,1630
8,Wajir,33,Wajir North,166,Danaba,Ali Mohamed Abdirahman,United Party of Independent Alliance,UPIA,1557
8,Wajir,33,Wajir North,167,Godoma,Abdikarim Adow Salat,United Democratic Movement,UDM,969
8,Wajir,34,Wajir East,168,Wagberi,Aden Abdi Bulle,United Democratic Alliance,UDA,1113
8,Wajir,34,Wajir East,169,Towship,Mahat Mohamed Ibrahim,National Raibow Coalition-Kenya,NARC-KENYA,1792
8,Wajir,34,Wajir East,170,Barwago,Aden Adow Abdullahi,Jubilee Party,JP,1618
8,Wajir,34,Wajir East,171,Khorof Harar,Mohamed Salat Ibrahim,Orange Democratic Movement,ODM,941
8,Wajir,35,Tarbaj,172,Elben,Yussuf Mohamed Aden,Kenya African National Union,KANU,813
8,Wajir,35,Tarbaj,173,Sarman,Mohamed Nur Farah,National Rainbow Coalition-Kenya,NARC-KENYA,1511
8,Wajir,35,Tarbaj,174,Tarbaj,Ahmedkheir Salat Buul,National Rainbow Coaltion-Kenya,NARC-KENYA,2808
8,Wajir,35,Tarbaj,175,Wargadud,Hamud Abdi Hassan,Justice And Freedom Party,JFP,1809
8,Wajir,36,Wajir West,176,Arbajahan,Abey Jimale Yussuf,Orange Democratic Movement,ODM,2158
8,Wajir,36,Wajir West,177,Hadado Athibohol,Abdirashid Basha Mumin,United Democratic Movement,UDM,1428
8,Wajir,36,Wajir West,178,Ademasajide,Mahfudha Abdullahi Haji,Orange Democratic Movement,ODM,2249
8,Wajir,36,Wajir West,179,Wagalla/ Ganyurey,Ibrahim Hussein Abdi,Maendeleo Chap Chap Party,MCCP,1853
8,Wajir,37,Eldas,180,Eldas,Adan Hussein Ali,Jubilee Party,JP,1563
8,Wajir,37,Eldas,181,Della,Yussuf Hussein Ahmed,United Democratic Movement,UDM,915
8,Wajir,37,Eldas,182,Lakoley South/ Basir,Rashid Billow Adan,Orange Democratic Movement,ODM,1090
8,Wajir,37,Eldas,183,El-Nur/Tulatula,Abdirizack Adow Abdi,Jubilee Party,JP,1993
