name,party,constituency,county,status,gender,image_local_path,start_date,end_date
MEJJADONK BENJAMIN GATHIRU,UDA,EMBAKASI CENTRAL,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MEJJADONK_BENJAMIN_GATHIRU.webp,2022,
BENJAMIN KIPKIRUI LANGAT,UDA,AINAMOI,KERICHO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AMB_LANGAT_BENJAMIN_KIPKIRUI.webp,2022,
EDWIN MUGO GICHUKI,UDA,MATHIOYA,MURANG'A,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_GICHUKI_EDWIN_MUGO.webp,2022,
JOHN KANYUITHIA MUTUNGA,UDA,TIGANIA WEST,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_MUTUNGA_JOHN_KANYUITHIA.webp,2022,
DR. ROBERT PUKOSE,UDA,ENDEBESS,TRANS-NZOIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_PUKOSE_ROBERT.webp,2022,
THUDDEUS KITHUA NZAMBIA,WDM,KILOME,MAKUENI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ENG_NZAMBIA_KITHUA_THUDDEUS.webp,2022,
ABDI ALI ABDI,NAP-K,IJARA,GARISSA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDI_ALI_ABDI.webp,2022,
KHAMIS CHOME ABDI,WDM,VOI,TAITA TAVETA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDI_KHAMIS_CHOME.webp,2022,
ABDI YUSUF HASSAN,JP,KAMUKUNJI,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDI_YUSUF_HASSAN.webp,2022,
MOHAMED ABDI ABDIRAHMAN,JP,LAFEY,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDIRAHMAN_MOHAMED_ABDI.webp,2022,
HUSSEINWEYTAN MOHAMED ABDIRAHMAN,ODM,MANDERA EAST,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDIRAHMAN_HUSSEINWEYTAN_MOHAMED.webp,2022,
BASHIR SHEIKH ABDULLAHI,UDM,MANDERA NORTH,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDULLAIH_BASHIR_SHEIKH.webp,2022,
ABUOR PAUL,ODM,RONGO,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABUOR_PAUL.webp,2022,
LAWRENCE MPURU ABURI,NOPEU,TIGANIA EAST,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABURI_LAWRENCE_MPURU.webp,2022,
ADHE WARIO GUYO,KANU,NORTH HORR,MARSABIT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ADHE_WARIO_GUYO.webp,2022,
MOHAMED ADEN ADOW,ODM,WAJIR SOUTH,WAJIR,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ADOW_ADEN_MOHAMMED.webp,2022,
SHAKEEL AHMED SHABBIR AHMED,IND,KISUMU EAST,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AHMED_SHAKEEL_AHMED_SHABBIR.webp,2022,
PROTUS EWESIT AKUJA,UDA,LOIMA,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AKUJAH_PROTUS_EWESIT.webp,2022,
MIRUKA ONDIEKI ALFAH,UDA,BOMACHOGE CHACHE,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ALFAH_ONDIEKI_MIRUKA.webp,2022,
PAUL OTIENDE AMOLLO,ODM,RARIEDA,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AMOLLO_PAUL_OTIENDE.jpeg,2022,
SAMWEL ARAMA,JP,NAKURU TOWN WEST,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ARAMA_SAMUEL.webp,2022,
JOHN ARIKO NAMOIT,ODM,TURKANA SOUTH,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ARIKO_JOHN_NAMOIT.webp,2022,
SAMUEL ONUNGA ATANDI,ODM,ALEGO USONGA,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ATANDI_SAMUEL_ONUNGA.webp,2022,
