name,county,party,status,gender,local_image_path,start_date,end_date
Edwin Watenya Sifuna,Nairobi,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Sifuna_Edwin_Watenya.webp,2022,
Boni Khalwale,Kakamega,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/(Dr.)_Khalwale_Boni.webp,2022,
Stewart Mwachiru Shadrack Madzayo,Kilifi,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/(Rtd)_Justice_Stewart_Madzayo%2C_CBS%2C_MP.webp,2022,
Issa Juma Boy,Kwale,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Boy_Issa_Juma.png,2022,
Samson K Cherarkey,Nandi,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Cherarkey_Samson_K.webp,2022,
Aaron Kipkirui Cheruiyot,Kericho,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Cheruiyot_Aaron_Kipkirui.webp,2022,
Allan Kiprotich Chesang,Trans-Nzoia,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Chesang_Allan_Kiprotich%2C_CBS.webp,2022,
Mohamed Said Chute,Marsabit,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Chute_Mohamed_Said.webp,2022,
Moses Masika Wetangula,Bungoma,FORD-K,Elect,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Wetangula_Moses_Masika.webp,2022,2022
David Wakoli Wafula,Bungoma,Ford-K,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/David_Wakoli_Wafula.webp,2023,
Fatuma Adan Dullo,Isiolo,JP,Elected,female,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Dullo_Fatuma_Adan.webp,2022,
James Lomenen Ekomwa,Turkana,JP,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Ekomwa_James_Lomenen.webp,2022,
Mohamed Faki Mwinyihaji,Mombasa,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Faki_Mohamed_Mwinyihaji.webp,2022,
Abdulkadir Mohammed Haji,Garissa,JP,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Haji_Abdul_Mohammed.webp,2022,
Joe Joseph Nyutu Ngugi,Murang'a,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/2022/Joe_Nyutu.png,2022,
