Constituency,Population,Area_sq_km,Density
Total,38610097,581309.00,66.42
MAKADARA,218641,23.00,9484.69
KAMUKUNJI,261855,12.00,21604.66
STAREHE,274607,11.00,25640.24
LANG’ATA,355188,223.00,1591.63
DAGORETTI,329577,39.00,8533.89
WESTLANDS,247102,97.00,2537.52
KASARANI,525624,86.00,6081.56
EMBAKASI,925775,204.00,4546.27
CHANGAMWE,282279,54.00,5214.35
KISAUNI,405930,115.00,3544.70
LIKONI,176008,43.00,4077.61
MVITA,75153,7.00,10669.69
MSAMBWENI,288393,3227.00,89.36
MATUGA,151978,1031.00,147.38
KINANGO,209560,4012.00,52.24
BAHARI,323609,795.00,407.15
KALOLENI,252924,892.00,283.50
GANZE,132688,3131.00,42.38
MALINDI,249355,5374.00,46.40
MAGARINI,151159,2418.00,62.52
GARSEN,96664,15614.00,6.19
GALOLE,60866,9631.00,6.32
BURA,82545,13192.00,6.26
LAMU EAST,18841,2320.00,8.12
LAMU WEST,82698,3954.00,20.92
TAVETA,67665,3502.00,19.32
WUNDANYI,58600,3376.00,17.36
MWATATE,71591,2849.00,25.13
VOI,86801,7358.00,11.80
DUJIS,190062,5589.00,34.01
LAGDERA,245123,13300.00,18.43
FAFI,95212,15469.00,6.16
IJARA,92663,9817.00,9.44
WAJIR NORTH,135505,8555.00,15.84
WAJIR WEST,171948,13088.00,13.14
WAJIR EAST,224418,13447.00,16.69
WAJIR SOUTH,130070,21596.00,6.02
MANDERA WEST,319775,8135.00,39.31
MANDERA CENTRAL,417294,11683.00,35.72
MANDERA EAST,288687,6174.00,46.76
MOYALE,103799,9371.00,11.08
NORTH HORR,75196,39248.00,1.92
SAKU,46502,2052.00,22.66
LAISAMIS,65669,20290.00,3.24
ISIOLO NORTH,100176,15517.00,6.46
ISIOLO SOUTH,43118,9819.00,4.39
IGEMBE,252885,1505.00,168.01
NTONYIRI,229871,1314.00,174.96
TIGANIA WEST,135980,455.00,298.89
TIGANIA EAST,157246,667.00,235.84
NORTH IMENTI,258947,1541.00,168.07
CENTRAL IMENTI,141768,790.00,179.42
SOUTH IMENTI,179604,661.00,271.54
NITHI,235232,1089.00,215.95
THARAKA,130098,1550.00,83.96
MANYATTA,154632,434.00,356.11
RUNYENJES,142360,291.00,488.72
GACHOKA,130185,1321.00,98.52
SIAKAGO,89035,771.00,115.47
MWINGI NORTH,204932,5778.00,35.47
MWINGI SOUTH,180016,4268.00,42.18
KITUI WEST,159367,1865.00,85.44
KITUI CENTRAL,179526,1032.00,173.95
MUTITO,122818,5117.00,24.00
KITUI SOUTH,166050,12436.00,13.35
MASINGA,125940,1403.00,89.78
YATTA,147579,1057.00,139.59
KANGUNDO,219103,755.00,290.31
KATHIANI,243719,1050.00,232.06
MACHAKOS TOWN,199211,925.00,215.30
MWALA,163032,1018.00,160.17
MBOONI,184624,949.00,194.52
KILOME,87864,641.00,137.02
KAITI,120116,423.00,283.98
MAKUENI,243219,2010.00,121.00
KIBWEZI,248704,3985.00,62.41
KINANGOP,192379,822.00,234.03
KIPIPIRI,95338,544.00,175.36
OL KALOU,215925,976.00,221.31
NDARAGWA,92626,904.00,102.48
TETU,78320,218.00,359.94
KIENI,175812,1440.00,122.06
MATHIRA,148847,846.00,175.85
OTHAYA,87374,174.00,500.75
MUKURWE-INI,83932,179.00,469.92
NYERI TOWN,119273,480.00,248.71
MWEA,190512,543.00,351.12
GICHUGU,124672,229.00,543.68
NDIA,99515,211.00,472.15
KERUGOYA/KUTUS,113355,496.00,228.35
KANGEMA,76988,174.00,443.40
MATHIOYA,88219,351.00,251.15
KIHARU,181076,410.00,441.88
KIGUMO,123766,242.00,511.28
MARAGWA,152272,547.00,278.29
KANDARA,156663,236.00,664.08
GATANGA,163597,599.00,273.12
GATUNDU SOUTH,107049,177.00,605.50
GATUNDU NORTH,107742,302.00,357.18
JUJA,486121,746.00,652.04
GITHUNGURI,147763,173.00,851.85
KIAMBAA,253751,189.00,1342.14
KABETE,265829,236.00,1126.11
LIMURU,131132,282.00,465.50
LARI,123895,439.00,282.12
TURKANA NORTH,374414,35419.00,10.57
TURKANA CENTRAL,254606,14591.00,17.45
TURKANA SOUTH,226379,18671.00,12.12
KACHELIBA,156011,3953.00,39.46
KAPENGURIA,181063,2317.00,78.13
SIGOR,175616,2899.00,60.58
SAMBURU WEST,164853,10973.00,15.02
SAMBURU EAST,59094,10050.00,5.88
KWANZA,236218,1120.00,210.86
SABOTI,387366,745.00,519.63
CHERANGANYI,195173,630.00,309.90
ELDORET NORTH,391655,1091.00,359.07
ELDORET EAST,241451,1257.00,192.08
ELDORET SOUTH,261073,997.00,261.74
MARAKWET EAST,78749,784.00,100.41
MARAKWET WEST,108374,805.00,134.69
KEIYO NORTH,73715,541.00,136.23
KEIYO SOUTH,109160,900.00,121.32
MOSOP,164430,738.00,222.94
ALDAI,157967,525.00,300.63
EMGWEN,231054,704.00,327.99
TINDERET,199514,917.00,217.64
BARINGO EAST,133189,4517.00,29.49
BARINGO NORTH,93789,1703.00,55.06
BARINGO CENTRAL,162351,2478.00,65.52
MOGOTIO,60959,1363.00,44.73
ELDAMA RAVINE,105273,954.00,110.31
LAIKIPIA WEST,224431,3891.00,57.67
LAIKIPIA EAST,174796,5571.00,31.38
NAIVASHA,376243,3035.00,123.98
NAKURU TOWN,309424,297.00,1041.27
KURESOI,239485,1191.00,201.06
MOLO,302618,1181.00,256.29
RONGAI,163864,1198.00,136.77
SUBUKIA,211691,593.00,356.80
KILGORIS,274532,2858.00,96.05
NAROK NORTH,258544,4663.00,55.45
NAROK SOUTH,317844,10412.00,30.53
KAJIADO NORTH,387538,7401.00,52.36
KAJIADO CENTRAL,162278,8089.00,20.06
KAJIADO SOUTH,137496,6411.00,21.45
BOMET,233271,516.00,452.26
CHEPALUNGU,163833,536.00,305.78
SOTIK,187968,541.00,347.59
KONOIN,139114,879.00,158.27
BURET,167649,321.00,522.10
BELGUT,202591,517.00,392.17
AINAMOI,181509,534.00,339.92
KIPKELION,206590,1107.00,186.57
MALAVA,266057,529.00,503.30
LUGARI,231260,568.00,407.42
MUMIAS,212818,314.00,676.84
MATUNGU,146563,276.00,531.43
LURAMBI,297394,420.00,708.66
SHINYALU,159475,412.00,387.19
IKOLOMANI,104669,144.00,729.11
BUTERE,139780,211.00,663.93
KHWISERO,102635,146.00,705.07
EMUHAYA,185069,173.00,1066.92
SABATIA,129678,111.00,1169.96
VIHIGA,91616,90.00,1016.04
HAMISI,148259,190.00,780.30
MT. ELGON,172377,957.00,180.21
KIMILILI,320300,560.00,572.44
WEBUYE,230253,404.00,569.56
SIRISIA,243535,445.00,546.71
KANDUNYI,228957,317.00,721.45
BUMULA,179641,349.00,514.74
AMAGORO,255871,561.00,456.42
NAMBALE,205982,434.00,474.69
BUTULA,121870,247.00,493.24
FUNYULA,93500,265.00,352.67
BUDALANGI,66723,188.00,354.36
UGENYA,202306,523.00,386.64
ALEGO,187243,606.00,309.10
GEM,160675,405.00,396.72
BONDO,157522,593.00,265.63
RARIEDA,134558,403.00,333.60
KISUMU TOWN EAST,264227,146.00,1811.90
KISUMU TOWN WEST,139933,144.00,972.27
KISUMU RURAL,144907,359.00,403.99
NYANDO,141037,413.00,341.49
MUHORONI,145764,667.00,218.44
NYAKACHI,133041,357.00,372.48
KASIPUL KABONDO,220666,510.00,433.08
KARACHUONYO,162045,441.00,367.27
RANGWE,194408,458.00,424.04
NDHIWA,172212,711.00,242.07
RONGO,209460,465.00,450.02
MIGORI,191248,490.00,390.32
URIRI,115751,381.00,304.09
NYATIKE,144625,677.00,213.57
MBITA,111409,421.00,264.72
GWASI,103054,642.00,160.57
KURIA,256086,583.00,439.49
BONCHARI,114615,127.00,902.43
SOUTH MUGIRANGO,159049,204.00,778.79
BOMACHOGE,200729,221.00,906.52
BOBASI,190074,240.00,790.57
NYARIBARI MASABA,122070,162.00,753.83
NYARIBARI CHACHE,142389,136.00,1045.12
KITUTU CHACHE,223356,226.00,987.13
KITUTU MASABA,199136,253.00,787.67
WEST MUGIRANGO,159673,179.00,892.15
N. MUGIRANGO BORABU,239443,467.00,512.19
