name,county,gender,image_url
Francis Thoya Foleni,Mombasa,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Mombasa_H.E._Francis_Thoya_Foleni.webp
Josphat Chirema Kombo,Kwale,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Kwale_H.E_Josphat_Chirema_Kombo.webp
Flora Mbetsa Chibule,Kilifi,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Kilifi_H.E_Flora_Mbetsa_Chibule.webp
Mahadh Ali Loka,Tana River,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Tana_River_H.E_Mahadh_Ali_Loka.webp
Dr. Mohamed Mbarak Bahjaj,Lamu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Lamu_Lamu_Deputy_Governor.webp
Christine Saru Kilalo,Taita Taveta,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/TaitaTaveta_H.E_Christine_Saru_Kilalo.webp
Abdi Dagane Muhumed,Garissa,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Garissa_H.E_Abdi_Dagane_Muhumed.webp
Ahmed Muhumed Abdi,Wajir,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Wajir_H.E_Ahmed_Muhumed_Abdi.webp
Ali Maalim Mohamud,Mandera,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Mandera_H.E_Ali_Maalim_Mohamud.webp
Solomon Gubo Riwe,Marsabit,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Marsabit_H.E_Solomon_Gubo_Riwe.webp
Dr. James Lowasa,Isiolo,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Isiolo_H.E_Dr._James_Lowasa.webp
Linda Kiome,Meru,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Meru_H.E_Linda_Kiome.webp
Muisrael Nyagah Derebia,Tharaka-Nithi,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/TharakaNithi_H.E_Muisrael_Nyagah_Derebia.webp
Justus Kinyua Mugo,Embu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Embu_H.E_Justus_Kinyua_Mugo.webp
Augustine Wambua Kanani,Kitui,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Kitui_H.E_Augustine_Wambua_Kanani.webp
Francis Mwangangi,Machakos,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Machakos_H.E_Francis_Mwangangi.webp
Lucy Mulili,Makueni,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Makueni_H.E_Lucy_Mulili.webp
John Mathara Mwangi,Nyandarua,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Nyandarua_H.E_John_Mathara_Mwangi.webp
David Kinaniri Waroe Mwangi,Nyeri,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Nyeri_H.E_David_Kinaniri_Waroe_Mwangi.webp
David Githanda Wachira,Kirinyaga,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Kirinyaga_H.E_David_Githanda_Wachira.webp
Stephen Mburu Munania,Murang’a,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Muranga_H.E_Stephen_Mburu_Munania.webp
Rosemary Njeri Kirika,Kiambu,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Kiambu_H.E_Rosemary_Njeri_Kirika.webp
John Lopeyok Erus,Turkana,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Turkana_H.E_John_Lopeyok_Erus.webp
Robert Achaule Komole,West Pokot,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/West_Pokot_H.E_Hon._Robert_Achaule_Komole.webp
Gabriel Lenengwesi Samia,Samburu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Samburu_H.E_Gabriel_Lenengwesi_Samia.webp
Philomena Bineah,Trans-Nzoia,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Trans_Nzoia_H.E_Hon._Philomena_Bineah.webp
Evans Kapkea,Uasin Gishu,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Uasin_Gishu_H.E_Hon._Evans_Kapkea.webp
Grace Jerotich Cheserek,Elgeyo-Marakwet,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/ElgeyoMarakwet_H.E_Prof._Grace_Jerotich_Cheserek.webp
Dr. Yulita C. Mitei Cheruiyot,Nandi,female,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Nandi_H.E_Dr._Yulita_C._Mitei_Cheruiyot.webp
Felix Kiplagat Maiyo,Baringo,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Baringo_H._E_Felix_Kiplagat_Maiyo.webp
Reuben Kamuri Ngatia,Laikipia,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Laikipia_H.E_Reuben_Kamuri_Ngatia.webp
David Kipkemoi Kones,Nakuru,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Nakuru_H.E_David_Kipkemoi_Kones.webp
Koech Kiprono Tamalinye,Narok,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Narok_H.E_Koech_Kiprono_Tamalinye.webp
Martin Moshisho Martin,Kajiado,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Kajiado_H.E_Martin_Moshisho_Martin.webp
Eng. Fredrick Kipngetich Kirui,Kericho,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Kericho_H.E_Eng._Fredrick_Kipngetich_Kirui.webp
David Shadrack Rotich,Bomet,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Bomet_H.E_Hon._David_Shadrack_Rotich.webp
Ayub ANGATIA Savula,Kakamega,male,https://f003.backblazeb2.com/file/serikali-images/deputy-governors/Kakamega_H.E_Hon._Ayub_ANGATIA_Savula.webp
