code,county,population_2019,area_km2,pop_density
1,Mombasa,1208333,219.9,5495
2,Kwale,866820,8267.1,105
3,Kilifi,1453787,12539.7,116
4,Tana River,315943,37950.5,8
5,Lamu,143920,6253.3,23
6,Taita–Taveta,340671,17152.0,20
7,Garissa,841353,44736.0,19
8,Wajir,781263,56773.1,14
9,Mandera,867457,25939.8,33
10,Marsabit,459785,70944.1,6
11,Isiolo,268002,25350.6,11
12,Meru,1545714,7006.3,221
13,Tharaka-Nithi,393177,2564.4,153
14,Embu,608599,2820.7,216
15,Kitui,1136187,30429.5,37
16,Machakos,1421932,6042.7,235
17,Makueni,987653,8169.8,121
18,Nyandarua,638289,3285.7,194
19,Nyeri,759164,3325.0,228
20,Kirinyaga,610411,1478.3,413
21,Murang’a,1056640,2524.2,419
22,Kiambu,2417735,2538.6,952
23,Turkana,926976,6832.9,14
24,West Pokot,621241,9123.2,68
25,Samburu,310327,21065.1,15
26,Trans-Nzoia,990341,2495.2,397
27,Uasin Gishu,1163186,3392.2,343
28,Elgeyo-Marakwet,454480,3032.0,150
29,Nandi,885711,2855.8,310
30,Baringo,666763,10976.4,61
31,Laikipia,518560,9532.2,54
32,Nakuru,2162202,7462.4,290
33,Narok,1157873,17950.3,65
34,Kajiado,1117840,21871.1,51
35,Kericho,901777,2436.1,370
36,Bomet,875689,2530.9,346
37,Kakamega,1867579,3020.0,618
38,Vihiga,590013,563.8,1047
39,Bungoma,1670570,3023.9,552
40,Busia,893681,1696.3,527
41,Siaya,993183,2529.8,393
42,Kisumu,1155574,2085.4,554
43,Homa Bay,1131950,3152.5,359
44,Migori,1116436,2613.5,427
45,Kisii,1266860,1323.0,958
46,Nyamira,605576,897.3,675
47,Nairobi,4397073,703.9,6347
