name,party,constituency,county,status,gender,image_local_path
"HON. MEJJADONK, BENJAMIN GATHIRU",UDA,EMBAKASI CENTRAL,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_MEJJADONK_BENJAMIN_GATHIRU.webp
HON. (AMB.) LANGAT BENJAMIN KIPKIRUI,UDA,AINAMOI,KERICHO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AMB_LANGAT_BENJAMIN_KIPKIRUI.webp
HON. (DR.) GICHUKI EDWIN MUGO,UDA,MATHIOYA,MURANGÁ,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_GICHUKI_EDWIN_MUGO.webp
HON. (DR.) JACKSON KIPKEMOI KOSGEI,UDA,,,Nominated,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_JACKSON_KIPKEMOI_KOSGEI.webp
HON. (DR.) MUTUNGA JOHN KANYUITHIA,UDA,TIGANIA WEST,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_MUTUNGA_JOHN_KANYUITHIA.webp
HON. (DR.) PUKOSE ROBERT,UDA,ENDEBESS,TRANS NZOIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_DR_PUKOSE_ROBERT.webp
HON. (ENG.) NZAMBIA KITHUA THUDDEUS,WDM,KILOME,MAKUENI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ENG_NZAMBIA_KITHUA_THUDDEUS.webp
HON. ABDI ALI ABDI,NAP-K,IJARA,GARISSA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDI_ALI_ABDI.webp
HON. ABDI KHAMIS CHOME,WDM,VOI,TAITA TAVETA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDI_KHAMIS_CHOME.webp
"HON. ABDI, YUSUF HASSAN",JP,KAMUKUNJI,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDI_YUSUF_HASSAN.webp
HON. ABDIRAHMAN MOHAMED ABDI,JP,LAFEY,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDIRAHMAN_MOHAMED_ABDI.webp
"HON. ABDIRAHMAN, HUSSEINWEYTAN MOHAMED",ODM,MANDERA EAST,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDIRAHMAN_HUSSEINWEYTAN_MOHAMED.webp
HON. ABDULLAIH BASHIR SHEIKH,UDM,MANDERA NORTH,MANDERA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABDULLAIH_BASHIR_SHEIKH.webp
HON. ABUBAKAR TALIB AHMED,WDM,,,Nominated,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABUBAKAR_TALIB_AHMED.webp
HON. ABUOR PAUL,ODM,RONGO,MIGORI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABUOR_PAUL.webp
"HON. ABURI, LAWRENCE MPURU",NOPEU,TIGANIA EAST,MERU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ABURI_LAWRENCE_MPURU.webp
HON. ADHE WARIO GUYO,KANU,NORTH HORR,MARSABIT,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ADHE_WARIO_GUYO.webp
HON. ADOW ADEN MOHAMMED,ODM,WAJIR SOUTH,WAJIR,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ADOW_ADEN_MOHAMMED.webp
HON. AHMED SHAKEEL AHMED SHABBIR,IND.,KISUMU EAST,KISUMU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AHMED_SHAKEEL_AHMED_SHABBIR.webp
"HON. AKUJAH, PROTUS EWESIT",UDA,LOIMA,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AKUJAH_PROTUS_EWESIT.webp
HON. ALFAH ONDIEKI MIRUKA,UDA,BOMACHOGE CHACHE,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ALFAH_ONDIEKI_MIRUKA.webp
HON. ALI ABDISIRAT KHALIF,UDA,,,Nominated,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ALI_ABDISIRAT_KHALIF.webp
HON. AMOLLO PAUL OTIENDE,ODM,RARIEDA,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_AMOLLO_PAUL_OTIENDE.jpeg
HON. ARAMA SAMUEL,JP,NAKURU TOWN WEST,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ARAMA_SAMUEL.webp
HON. ARIKO JOHN NAMOIT,ODM,TURKANA SOUTH,TURKANA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ARIKO_JOHN_NAMOIT.webp
HON. ATANDI SAMUEL ONUNGA,ODM,ALEGO USONGA,SIAYA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_ATANDI_SAMUEL_ONUNGA.webp
HON. BABU OWINO PAUL ONGILI,ODM,EMBAKASI EAST,NAIROBI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/BABU_OWINO_PAUL.png
HON. BADY BADY TWALIB,ODM,JOMVU,MOMBASA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BADY_BADY_TWALIB.webp
HON. BARASA PATRICK SIMIYU,DAP-K,CHERANGANY,TRANS NZOIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BARASA_PATRICK_SIMIYU.webp
HON. BARONGO NOLFASON OBADIAH,ODM,BOMACHOGE BORABU,KISII,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BARONGO_NOLFASON_OBADIAH.webp
HON. BARRE HUSSEIN ABDI,UDA,TARBAJ,WAJIR,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BARRE_HUSSEIN_ABDI.webp
HON. BARTOO PHYLIS JEPKEMOI,UDA,MOIBEN,UASIN GISHU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BARTOO_PHYLIS_JEPKEMOI.webp
HON. BASIL ROBERT NGUI,WDM,YATTA,MACHAKOS,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BASIL_ROBERT_NGUI.webp
HON. BAYA OWEN YAA,UDA,KILIFI NORTH,KILIFI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BAYA_OWEN_YAA.webp
HON. BEDZIMBA RASHID JUMA,ODM,KISAUNI,MOMBASA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BEDZIMBA_RASHID_JUMA.webp
"HON. BIDU, MOHAMED TUBI",JP,ISIOLO SOUTH,ISIOLO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BIDU_MOHAMED_TUBI.webp
HON. BIEGO PAUL KIBICHIY,UDA,CHESUMEI,NANDI,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BIEGO_PAUL_KIBICHIY.webp
"HON. BISAU, MAURICE KAKAI",DAP-K,KIMININI,TRANS-NZOIA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BISAU_MAURICE_KAKAI.png
HON. BOWEN DAVID KANGOGO,UDA,MARAKWET EAST,ELGEYO-MARAKWET,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BOWEN_DAVID_KANGOGO.webp
HON. BUYU ROZAAH AKINYI,ODM,KISUMU WEST,KISUMU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BUYU_ROZAAH_AKINYI.webp
HON. BWIRE JOHN OKANO,WDM,TAVETA,TAITA TAVETA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_BWIRE_JOHN_OKANO.webp
"HON. CHEBOR, PAUL KIBET",UDA,RONGAI,NAKURU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEBOR_PAUL_KIBET.webp
HON. CHEGE JOHN KIRAGU,UDA,LIMURU,KIAMBU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEGE_JOHN_KIRAGU.webp
HON. CHEGE NJUGUNA,UDA,KANDARA,MURANG'A,ELECTED,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEGE_NJUGUNA.webp
HON. CHEGE SABINA WANJIRU,JP,,,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEGE_SABINA_WANJIRU.webp
"HON. CHEPKONGA, SAMUEL KIPRONO",UDA,AINABKOI,UASIN GISHU,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEPKONGA_SAMUEL_KIPRONO.webp
HON. CHEPKWONY CHARITY KATHAMBI,UDA,NJORO,NAKURU,Elected,female,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEPKWONY_CHARITY_KATHAMBI.webp
HON. CHEROROT JOSEPH KIMUTAI,UDA,KIPKELION EAST,KERICHO,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHEROROT_JOSEPH_KIMUTAI.webp
HON. CHESEBE FRED KAPONDI,UDA,MT. ELGON,BUNGOMA,UDA,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHESEBE_FRED_KAPONDI.webp
"HON. CHIFOROMODO, MANGALE MUNGA",UDM,LUNGA LUNGA,KWALE,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHIFOROMODO_MANGALE_MUNGA.webp
HON. CHIKATI JOHN MURUMBA,FORD-K,TONGAREN,BUNGOMA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/mps/2022/HON_CHIKATI_JOHN_MURUMBA.webp
