Party Name,abbreviation
United Democratic Alliance,"['UDA']"
Wiper Democratic Movement- Kenya,"['Wiper','Wiper-Kenya', 'Wiper-K', 'WDM', 'WDM-K']"
Vibrant Democratic Party,
Usawa Kwa Wote Party,"['UKW']"
United Progressive Alliance,"['UPA']"
United Party Of Independent Alliance,"['UPIA']"
United Green Movement,"['UGM']"
United Democratic Party,"['UDP']"
United Democratic Movement,"['UDM']"
Unified Change Party,
Umoja Summit Party,
Umoja Na Maendeleo Party,"['UMP']"
Ubuntu Peoples Forum,"['UPF']"
Tujibebe Wakenya Party,
Thirdway Alliance Kenya,
The Service Party,"['TSP']"
The New Democrats,
The National Vision Party,
The Labour Party Of Kenya,"['LPK']"
Shirikisho Party Of Kenya,"['SPK']"
Safina,
Roots Party Of Kenya,"['Roots', 'RPK']"
Republican Liberty Party,
Progressive Party Of Kenya,
Peoples Trust Party,"['PTP']"
Peoples Party Of Kenya,"['PPK']"
Peoples Empowerment Party,
Peoples Democratic Party,
Party Of National Unity,"['PNU']"
Party Of Independent Candidates Of Kenya,
Party Of Democratic Unity,"['PDU']"
Party For Peace And Development,
Pamoja African Alliance,"['PAA']"
Orange Democratic Movement,"['ODM']"
National Reconstruction Alliance,
National Rainbow Coalition-Kenya,
National Rainbow Coalition,
National Ordinary Peoples Empowerment Union,"['NOPEU']"
National Liberal Party,"['NLP']"
National Agenda Party Of Kenya,
National Alliance Party of Kenya,"['NAP-K','NAP-Kenya', 'NAK', 'NAPK']"
Mwangaza Tu Party,"['MWAP']"
Muungano Party,"['MP']"
Movement For Democracy And Growth,"['MDG']"
Mazingira Greens Party Of Kenya,"['MGP']"
Maendeleo Democratic Party,
Maendeleo Chap Chap Party,"['MCCP']"
Mabadiliko Party Of Kenya,
Liberal Democratic Party,"['LDP']"
Kenya Union Party,"['KUP']"
Kenya Social Congress,"['KSC']"
Kenya Reform Party,"['KRP']"
Kenya Patriots Party,
Kenya National Congress,
Kenya African National Union,"['KANU']"
Kenya African Democratic Union-Asili,"['KADU', 'KADU-Asili']"
Justice And Freedom Party,"['JFP']"
Jubilee Party,"['Jubilee', 'JP']"
Jirani Mzalendo Asili Party Of Kenya,
Green Thinking Action Party,
Green Congress Of Kenya,"['GCK']"
Grand Dream Development Party,"['GDDP']"
Forum For Restoration Of Democracy-Kenya,"['FORD-K', 'FORD-Kenya', 'FORD']"
Federal Party Of Kenya,"['FPK']"
Farmers Party,"['FP']"
Entrust Pioneer Party,
Empowerment And Liberation Party,
Economic Freedom Party,"['EFP']"
Devolution Party Of Kenya,
Devolution Empowerment Party,
Democratic Party Of Kenya,"['DP', 'DPK']"
Democratic Congress,"['DC']"
Democratic Action Party- Kenya,"['DAP-K', 'DAP', 'DAP-Kenya']"
Communist Party Of Kenya,
Chama Cha Uzalendo,
Chama Cha Mashinani,"['CCM']"
Chama Cha Kazi,
Amani National Congress,"['ANC']"
Alternative Leadership Party Of Kenya,"['ALP-K', 'ALP-Kenya', 'ALP']"
Agano Party,"['AGANO']"
Forum For Republican Democracy-Asili, "['FORD-ASILI', 'FORD-A']"
