name,county,party,status,gender,local_image_path
Sifuna Edwin Watenya,Nairobi,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Sifuna_Edwin_Watenya.webp
(Dr.) Khalwale Boni,Kakamega,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/(Dr.)_Khalwale_Boni.webp
"(Rtd) Justice Stewart Madzayo, CBS, MP",Kilifi,ODM,Elected,male,"https://f003.backblazeb2.com/file/serikali-images/senators/(Rtd)_Justice_Stewart_Madzayo%2C_CBS%2C_MP.webp"
Abdalla Shakilla Mohamed,Nominated,WDM,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Abdalla_Shakilla_Mohamed.webp
Beatrice Akinyi Ogolla,Nominated,ODM,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Beatrice_Akinyi_Ogolla.webp
Beth Kalunda Syengo,Nominated,ODM,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Beth_Kalunda_Syengo.webp
Betty Batuli Montet,Nominated,ODM,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Betty_Batuli_Montet.jpeg
Boy Issa Juma,Kwale,ODM,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Boy_Issa_Juma.png
Catherine Muyeka Mumma,Nominated,ODM,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Catherine_Muyeka_Mumma.webp
Cherarkey Samson K,Nandi,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Cherarkey_Samson_K.webp
Cheruiyot Aaron Kipkirui,Kericho,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Cheruiyot_Aaron_Kipkirui.webp
"Chesang Allan Kiprotich, CBS",Trans Nzoia,UDA,Elected,male,"https://f003.backblazeb2.com/file/serikali-images/senators/Chesang_Allan_Kiprotich%2C_CBS.webp"
Chimera Raphael Mwinzago,Nominated,UDA,Nominated,male,https://f003.backblazeb2.com/file/serikali-images/senators/Chimera_Raphael_Mwinzago.webp
Chute Mohamed Said,Marsabit,UDA,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Chute_Mohamed_Said.webp
Crystal Asige,Nominated,ODM,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Crystal_Asige.webp
David Wakoli Wafula,Bungoma County,Ford-K,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/David_Wakoli_Wafula.webp
Dullo Fatuma Adan,Isiolo,JP,Elected,female,https://f003.backblazeb2.com/file/serikali-images/senators/Dullo_Fatuma_Adan.webp
Ekomwa James Lomenen,Turkana,JP,Elected,male,https://f003.backblazeb2.com/file/serikali-images/senators/Ekomwa_James_Lomenen.webp
Esther Anyieni Okenyuri,Nominated,UDA,Nominated,female,https://f003.backblazeb2.com/file/serikali-images/senators/Esther_Anyieni_Okenyuri.webp
