name,county,image_url,party
MONICA MUTHONI MARUBU,Lamu,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/lamu_monica_muthoni_marubu.webp,Independent
UDGOOD SIYAD KUNO,Garissa,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/unknown_udgood_siyad_garissa.webp,Jubilee
FATUMA ABDI JEHOW,Wajir,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/wajir_fatuma_abdi_jehow.webp,ODM
MUMINA GOLLO BONAYA,Isiolo,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/isiolo_mumina_gollo_bonaya.webp,Jubilee
SUSAN NGUGI NDUYO,Tharaka-Nithi,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_tharaka_nithi_susan_ngugi_mwindu.webp,TSP
ROSE MUSEO MUMO,Makueni,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_makueni_rose_museo_mumo.webp,Wiper
JANE NJERI MAINA,Kirinyaga,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_kirinyaga_njeri_maina.webp,UDA
SANKAIRE LEAH SOIPATO,Kajiado,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_kajiado_sankaire_leah_soipato.webp,UDA
JERUSHA MONGINA MOMANYI,Nyamira,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_nyamira_jerusha_mongina_momanyi.webp,ODM
FATUMA ZAINAB MOHAMED,Migori,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_migori_fatuma_mohamed.webp,Independent
RUTH ODHIAMBO ODINGA,Kisumu,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_kisumu_ruth_odinga.webp,ODM
DR. JOYCE BENSUDA OSOGO (PhD),Homa Bay,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_homabay_dr_joyce_bensuda_osogo_phd.webp,ODM
DR. ODUOR CHRISTINE OMBAKA,Siaya,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_siaya_dr_oduor_christine_ombaka.webp,ODM
CATHRINE NANJALA WAMBILIANGA,Bungoma,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_bungoma_cathrine_wambilianga.webp,Ford-Kenya
IRENE MUTHONI KASALU,Kitui,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_kitui_irene_muthoni_kasalu.webp,Wiper
ELIZABETH KARAMBU KAILEMIA,Meru,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_meru_elizabeth_karambu_kailemia.webp,UDA
FATUMA HAMISI MASITO,Kwale,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_kwale_fatuma_masito.webp,ODM
AMINA DIKA ABDULLAHI,Tana River,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_tana_river_amina_dika.webp,KANU
NAOMI JILLO WAQO,Marsabit,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_marsabit_naomi_jillo_waqo.webp,UDA
PAMELA NJOKI NJERU,Embu,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_embu_pamela_njoki_njeru_double_n.webp,UDA
JOYCE KAMENE,Machakos,https://f003.backblazeb2.com/file/serikali-images/women-reps/2022/woman_rep_machakos_joyce_kameme.webp,Wiper
